Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; 219,8407; 625,6429; 47,28637; 67,665; 219,8407; 625,6429
1; 207,0683; 220,167; 69,13112; 64,12488; 207,0683; 220,167
2; 250,159; 191,7594; 159,2244; 85,50024; 250,159; 191,7594
3; 247,5652; 235,1629; 174,6143; 172,958; 247,5652; 235,1629
4; 241,2527; 305,4189; 204,6465; 219,3865; 241,2527; 305,4189
5; 255,268; 283,3725; 200,3983; 183,817; 255,268; 283,3725
6; 277,6943; 269,5945; 223,805; 169,5252; 277,6943; 269,5945
7; 269,3462; 487,3664; 226,797; 162,5195; 269,3462; 487,3664
8; 266,3737; 756,189; 231,4355; 170,0639; 266,3737; 756,189
9; 279,1419; 653,6115; 241,2226; 167,2301; 279,1419; 653,6115
10; 278,7962; 347,0103; 242,0968; 86,42295; 278,7962; 347,0103
11; 279,6341; 594,6725; 248,743; 139,1782; 279,6341; 594,6725
12; 279,6883; 493,2566; 239,9751; 190,1189; 279,6883; 493,2566
13; 279,7397; 536,52; 246,1713; 221,4008; 279,7397; 536,52
14; 279,703; 625,3643; 251,1497; 303,858; 279,703; 625,3643
15; 279,821; 625,1771; 241,2844; 234,6263; 279,821; 625,1771
16; 279,8409; 656,1648; 240,5081; 259,2887; 279,8409; 656,1648
17; 279,8706; 655,2604; 233,4493; 303,4839; 279,8706; 655,2604
18; 279,5124; 744,7172; 241,4342; 214,1429; 279,5124; 744,7172
19; 279,8285; 711,717; 237,5457; 373,0344; 279,8285; 711,717
20; 279,5009; 719,7256; 235,9569; 251,7148; 279,5009; 719,7256
21; 279,8056; 732,3411; 244,7735; 157,3931; 279,8056; 732,3411
22; 279,7536; 710,8749; 253,0936; 346,8683; 279,7536; 710,8749
23; 279,8799; 730,3947; 222,8068; 194,6055; 279,8799; 730,3947
24; 279,8964; 714,8895; 222,1451; 346,7184; 279,8964; 714,8895
25; 279,9688; 726,4075; 251,3715; 338,9523; 279,9688; 726,4075
26; 279,3275; 790,949; 221,8384; 378,8705; 279,3275; 790,949
27; 279,0452; 708,1911; 233,9028; 386,0934; 279,0452; 708,1911
