Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0;-210940;-224680;-213876;-224806;-210940;-224680
1;-210940;-224780;-212580;-224825;-210940;-224780
2;-200200;-224680;-211581;-224769;-200200;-224680
3;-199890;-224680;-209406;-224768;-199890;-224680
4;-198670;-224700;-208473;-224781;-198670;-224700
5;-198670;-224720;-204715;-224800;-198670;-224720
6;-198520;-224680;-206279;-224789;-198520;-224680
7;-196720;-224680;-204134;-224791;-196720;-224680
8;-196720;-224680;-205750;-224778;-196720;-224680
9;-196720;-224640;-202206.5;-224780;-196720;-224640
10;-199690;-224560;-206017.5;-224781;-199690;-224560
11;-199090;-224340;-205365.5;-224756;-199090;-224340
12;-199090;-224740;-207457;-224798;-199090;-224740
13;-199010;-224720;-205726;-224816;-199010;-224720
14;-199210;-224740;-205282.5;-224809;-199210;-224740
15;-199060;-224440;-206269;-224802;-199060;-224440
16;-199060;-224440;-203621;-224760;-199060;-224440
17;-199010;-224440;-202583;-224790;-199010;-224440
18;-197960;-223840;-203891.5;-224763;-197960;-223840
19;-198530;-223840;-203774.5;-224772;-198530;-223840
20;-198530;-223940;-204053.5;-224790;-198530;-223940
21;-198420;-224680;-204941;-224821;-198420;-224680
22;-198420;-224720;-201876;-224818;-198420;-224720
23;-198270;-224700;-199974.5;-224823;-198270;-224700
24;-198080;-224720;-201587.5;-224815;-198080;-224720
25;-196220;-224800;-199324;-224820;-196220;-224800
26;-196220;-224240;-201490.5;-224765;-196220;-224240
27;-198230;-224340;-202913;-224771;-198230;-224340
28;-197160;-224440;-202711.5;-224794;-197160;-224440
29;-197120;-224540;-201689.5;-224793;-197120;-224540
30;-196290;-224740;-200800.5;-224813;-196290;-224740
31;-196590;-224240;-202288.5;-224776;-196590;-224240
32;-196750;-224680;-202756;-224804;-196750;-224680
33;-196590;-224440;-201340.5;-224788;-196590;-224440
34;-199050;-223940;-201788;-224749;-199050;-223940
35;-198040;-224800;-200805;-224823;-198040;-224800
36;-198140;-224740;-201920.5;-224819;-198140;-224740
37;-196860;-224680;-202418;-224809;-196860;-224680
38;-196810;-224680;-201806;-224815;-196810;-224680
39;-198100;-224140;-200904.5;-224790;-198100;-224140
40;-198980;-224800;-201269;-224818;-198980;-224800
41;-197910;-224740;-200695.5;-224811;-197910;-224740
42;-197500;-224680;-202275.5;-224791;-197500;-224680
43;-197030;-224780;-201372.5;-224813;-197030;-224780
44;-197990;-224640;-201684.5;-224803;-197990;-224640
45;-198120;-224760;-201640;-224815;-198120;-224760
46;-196340;-224280;-201706.5;-224770;-196340;-224280
47;-196490;-224720;-201984;-224803;-196490;-224720
48;-197880;-224720;-201073;-224797;-197880;-224720
49;-196390;-224680;-201447.5;-224792;-196390;-224680
50;-10;-221500;-678;-221556;-10;-221500
51;100;-20500;-671;-211530;100;-20500
52;550;-221500;-652.5;-221564;550;-221500
53;250;-20500;-499;-201472;250;-20500
54;340;-20500;-266.5;-201552;340;-20500
55;420;-221500;-526;-221684;420;-221500
56;2110;-221500;112.5;-221846;2110;-221500
57;2010;-20820;13;-211980;2010;-20820
58;950;-20820;249.5;-201875;950;-20820
59;1100;-221660;255.5;-222057;1100;-221660
60;1200;-221660;544.5;-222202;1200;-221660
61;1500;-221820;679;-222357;1500;-221820
62;1350;-221980;1085.5;-222396;1350;-221980
63;1450;-221980;1009;-222409;1450;-221980
64;1610;-222080;987;-222414;1610;-222080
65;1660;-221820;934.5;-222453;1660;-221820
66;1570;-221820;1025;-222481;1570;-221820
67;1570;-221820;1110;-222521;1570;-221820
68;1670;-222500;1224;-222570;1670;-222500
69;1690;-222400;1158;-222628;1690;-222400
70;1810;-222240;1188.5;-222701;1810;-222240
71;1940;-222660;1444;-222839;1940;-222660
72;1940;-222500;1268.5;-222802;1940;-222500
73;2090;-222660;1430;-222914;2090;-222660
74;1930;-222500;1452.5;-222911;1930;-222500
75;3910;-222500;1557.5;-223155;3910;-222500
76;3810;-222500;1822;-223509;3810;-222500
77;4480;-222660;-8139.5;-224405;4480;-222660
78;4310;-222660;-7297.5;-224959;4310;-222660
79;4280;-223180;-37254;-225315;4280;-223180
80;4670;-223440;-17076.5;-225509;4670;-223440
81;4950;-223440;3833.5;-226117;4950;-223440
82;4610;-223020;3283;-225236;4610;-223020
83;4750;-223280;-17334;-225308;4750;-223280
84;4370;-223440;-7980;-224438;4370;-223440
85;4810;-223280;-27244.5;-225465;4810;-223280
86;5310;-223440;-28717;-225166;5310;-223440
87;6160;-224160;-26662.5;-226080;6160;-224160
88;6210;-223440;-26885;-226009;6210;-223440
89;5090;-223540;-37803;-225523;5090;-223540
90;5630;-223440;-70016.5;-225409;5630;-223440
91;5790;-224160;-69645.5;-225542;5790;-224160
92;5630;-223280;-27397;-225257;5630;-223280
93;5730;-223120;-27807;-225572;5730;-223120
94;5200;-223280;-27765;-225400;5200;-223280
95;5290;-223440;-47786.5;-225267;5290;-223440
96;5750;-223600;-38209.5;-225896;5750;-223600
97;5560;-223280;-48349.5;-225556;5560;-223280
98;5510;-223860;-25939.5;-226259;5510;-223860
99;6060;-223280;-37233;-226015;6060;-223280
100;-198820;-20240;-202098.5;-212090;-198820;-20240
101;-198730;-220740;-202135.5;-222425;-198730;-220740
102;-193420;-220740;-202398;-222960;-193420;-220740
103;-199120;-220740;-203063;-222965;-199120;-220740
104;-199020;-221040;-202329;-223350;-199020;-221040
105;-198850;-221240;-201346;-222450;-198850;-221240
106;-197270;-221240;-201316;-222455;-197270;-221240
107;-197270;-221040;-201050.5;-223385;-197270;-221040
108;-193970;-221140;-200675.5;-223580;-193970;-221140
109;-199270;-19940;-206337.5;-203310;-199270;-19940
110;-195420;-19940;-202278;-202424;-195420;-19940
111;-193970;-220940;-200497;-222980;-193970;-220940
112;-193870;-221040;-201289.5;-223536;-193870;-221040
113;-193920;-221140;-201768.5;-224184;-193920;-221140
114;-193870;-19940;-204720;-213694;-193870;-19940
115;-193120;-221040;-200871;-222859;-193120;-221040
116;-193170;-221040;-204024;-223597;-193170;-221040
117;-197300;-221040;-201871.5;-222775;-197300;-221040
118;-197220;-220840;-202191;-223525;-197220;-220840
119;-197590;-19940;-204367.5;-192830;-197590;-19940
120;-197130;-220940;-201954.5;-223120;-197130;-220940
121;-194820;-220940;-202165;-223775;-194820;-220940
122;-197210;-220940;-203474;-223700;-197210;-220940
123;-194870;-20240;-200274.5;-213545;-194870;-20240
124;-195170;-220940;-201445;-223773;-195170;-220940
125;-193470;-220840;-201119.5;-224067;-193470;-220840
126;-193470;-220940;-201175.5;-224000;-193470;-220940
127;-192770;-220940;-201537;-223715;-192770;-220940
128;-191470;-221140;-199879;-223577;-191470;-221140
129;-194170;-220840;-201508;-223515;-194170;-220840
130;-194170;-220840;-200772.5;-223338;-194170;-220840
131;-194300;-19740;-199236.5;-213225;-194300;-19740
132;-192670;-220840;-200239;-224100;-192670;-220840
133;-195370;-221040;-200959.5;-223780;-195370;-221040
134;-193370;-221040;-199948;-223642;-193370;-221040
135;-193070;-221240;-199499.5;-223659;-193070;-221240
136;-193370;-221240;-198909.5;-223977;-193370;-221240
137;-192520;-20740;-202324;-214109;-192520;-20740
138;-194260;-221240;-202816;-223615;-194260;-221240
139;-196270;-221240;-201476.5;-223575;-196270;-221240
140;-195270;-221140;-198578.5;-223540;-195270;-221140
141;-191880;-221040;-203806;-224452;-191880;-221040
142;-193370;-20040;-201226;-214097;-193370;-20040
143;-194470;-20040;-201449.5;-213700;-194470;-20040
144;-194300;-221040;-201323.5;-223660;-194300;-221040
145;-194150;-221040;-199559.5;-223425;-194150;-221040
146;-194720;-221540;-199707;-223545;-194720;-221540
147;-194720;-221040;-200605.5;-223360;-194720;-221040
148;-194720;-221640;-200793;-224075;-194720;-221640
149;-194720;-221440;-202068.5;-223890;-194720;-221440
150;-210720;-224840;-210720;-224840;-210720;-224840
151;-210720;-224840;-210720;-224840;-210720;-224840
152;-210720;-224820;-210777;-224820;-210720;-224820
153;-210720;-224820;-210723;-224820;-210720;-224820
154;-210720;-224840;-210720;-224840;-210720;-224840
155;-210720;-224840;-210720;-224840;-210720;-224840
156;-210720;-224840;-210808;-224840;-210720;-224840
157;-210720;-224840;-210730;-224840;-210720;-224840
158;-210720;-224840;-210941;-224840;-210720;-224840
159;-210720;-224840;-210720;-224840;-210720;-224840
160;-210720;-224840;-210778;-224840;-210720;-224840
161;-210720;-224840;-210720;-224840;-210720;-224840
162;-210720;-224840;-210756;-224840;-210720;-224840
163;-210720;-224840;-210720;-224840;-210720;-224840
164;-210720;-224840;-210721;-224840;-210720;-224840
165;-210720;-224840;-210723;-224840;-210720;-224840
166;-210720;-224840;-210720;-224840;-210720;-224840
167;-210720;-224840;-210737;-224840;-210720;-224840
168;-210720;-224820;-210779;-224820;-210720;-224820
169;-210720;-224840;-210720;-224840;-210720;-224840
170;-210720;-224820;-210736;-224820;-210720;-224820
171;-210720;-224840;-210729;-224840;-210720;-224840
172;-210720;-224840;-210731;-224840;-210720;-224840
173;-210720;-224840;-210720;-224840;-210720;-224840
174;-210720;-224840;-210729;-224840;-210720;-224840
175;-210720;-224840;-210720;-224840;-210720;-224840
176;-210720;-224840;-210720;-224840;-210720;-224840
177;-210720;-224840;-210721;-224840;-210720;-224840
178;-210720;-224840;-210740;-224840;-210720;-224840
179;-210720;-224840;-210784;-224840;-210720;-224840
180;-210720;-224840;-210729;-224840;-210720;-224840
181;-210720;-224840;-210726;-224840;-210720;-224840
182;-210720;-224840;-210720;-224840;-210720;-224840
183;-210720;-224840;-210752;-224840;-210720;-224840
184;-210720;-224820;-210720;-224820;-210720;-224820
185;-210720;-224840;-210720;-224840;-210720;-224840
186;-210720;-224840;-210729;-224840;-210720;-224840
187;-210720;-224840;-210780;-224840;-210720;-224840
188;-210720;-224840;-210720;-224840;-210720;-224840
189;-210720;-224840;-210720;-224840;-210720;-224840
190;-210720;-224840;-210724;-224840;-210720;-224840
191;-210720;-224840;-210738;-224840;-210720;-224840
192;-210720;-224840;-210720;-224840;-210720;-224840
193;-210720;-224840;-210736;-224840;-210720;-224840
194;-210720;-224840;-210720;-224840;-210720;-224840
195;-210720;-224840;-210727;-224840;-210720;-224840
196;-210720;-224840;-210720;-224840;-210720;-224840
197;-210720;-224840;-210720;-224840;-210720;-224840
198;-210720;-224840;-210727;-224840;-210720;-224840
199;-210720;-224840;-210788;-224840;-210720;-224840
200;-195330;-224840;-206399;-225488;-195330;-224840
201;-195270;-224840;-202243;-226289;-195270;-224840
202;-195020;-224840;-197455;-227144;-195020;-224840
203;-194970;-224840;-197122.5;-227099;-194970;-224840
204;-194950;-224840;-196664.5;-227675;-194950;-224840
205;-194640;-224840;-197184;-227498;-194640;-224840
206;-194970;-224840;-199251;-227072;-194970;-224840
207;-194470;-226160;-195520.5;-227708;-194470;-226160
208;-194420;-224840;-196232;-227642;-194420;-224840
209;-194370;-225860;-195172;-227885;-194370;-225860
210;-194320;-227000;-194773.5;-227882;-194320;-227000
211;-194390;-224840;-195407;-227759;-194390;-224840
212;-194270;-227660;-194466.5;-228086;-194270;-227660
213;-193520;-227240;-194493.5;-228095;-193520;-227240
214;-193270;-224840;-195058;-227837;-193270;-224840
215;-192920;-224840;-195026;-227954;-192920;-224840
216;-192920;-225440;-194490.5;-227843;-192920;-225440
217;-191700;-227000;-194107.5;-228011;-191700;-227000
218;-191370;-226700;-193944;-227801;-191370;-226700
219;-191070;-226100;-193862.5;-227606;-191070;-226100
