Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0;-218720;-224840;-219629;-224840;-218720;-224840
1;-2800;-224840;-197871.5;-225577;-2800;-224840
2;6920;-224840;-90586.5;-227299;6920;-224840
3;-1080;-220340;-181340.5;-223921;-1080;-220340
4;-199660;-224840;-210500.5;-224909;-199660;-224840
5;-210720;-224840;-214252;-224840;-210720;-224840
6;-193270;-224840;-199840.5;-226862;-193270;-224840
7;-520;-220940;-171413;-223484;-520;-220940
8;-197300;-223840;-211064.5;-224874;-197300;-223840
9;-196950;-223640;-204786.5;-224569;-196950;-223640
10;-196020;-221940;-209908;-224740;-196020;-221940
11;-198430;-220440;-209854.5;-223696;-198430;-220440
12;-198070;-223240;-207013.5;-225417;-198070;-223240
13;-260;-222340;-158792.5;-225241;-260;-222340
14;-197570;-223740;-214663.5;-224785;-197570;-223740
15;1940;-224440;-196222;-225005;1940;-224440
16;-188970;-222340;-202155.5;-224583;-188970;-222340
17;3910;-22400;690.5;-214138;3910;-22400
18;-199320;-223840;-208890.5;-224729;-199320;-223840
19;-193470;-223220;-200945.5;-224663;-193470;-223220
20;-193520;-220640;-207555;-223610;-193520;-220640
21;6320;-224000;-173195;-227111;6320;-224000
22;-188340;-222800;-197285;-226600;-188340;-222800
23;-190220;-220640;-198993.5;-224335;-190220;-220640
24;-193510;-221440;-202915.5;-224839;-193510;-221440
25;-193620;-220920;-200258;-223620;-193620;-220920
26;-197360;-223740;-199603;-224472;-197360;-223740
27;-190720;-222240;-199045;-224300;-190720;-222240
28;-199190;-20040;-207400;-212570;-199190;-20040
29;2300;-220940;-188923.5;-225547;2300;-220940
30;5320;-221040;-186799.5;-224366;5320;-221040
31;-195320;-223340;-209907.5;-225598;-195320;-223340
32;-198980;-221140;-207002;-223045;-198980;-221140
33;-207520;-210170;-215409;-210189;-207520;-210170
34;-192290;-220840;-203728.5;-223544;-192290;-220840
35;-195270;-225560;-198618;-226037;-195270;-225560
36;-197520;-222940;-209992;-224760;-197520;-222940
37;4880;-224840;-148313;-225796;4880;-224840
38;-196870;-223440;-198866.5;-224898;-196870;-223440
39;4500;-224740;-138155.5;-225754;4500;-224740
40;-195810;-223340;-200855;-225182;-195810;-223340
41;-192970;-21740;-198959.5;-214283;-192970;-21740
42;-198900;-224840;-207243;-225206;-198900;-224840
43;-201100;-20340;-209076;-212695;-201100;-20340
44;-181950;-224800;-193339;-227640;-181950;-224800
45;-196440;-220340;-198857;-222220;-196440;-220340
46;-185130;-226640;-193226;-227957;-185130;-226640
47;-188930;-220740;-201350;-224170;-188930;-220740
48;-196870;-223640;-203535;-224899;-196870;-223640
49;-199170;-220540;-200101.5;-223805;-199170;-220540
50;-200280;-224240;-209925;-224885;-200280;-224240
51;-193820;-224040;-197315;-227250;-193820;-224040
52;-197900;-222880;-199766.5;-225456;-197900;-222880
53;2970;-224660;-188283;-226805;2970;-224660
54;-193570;-220540;-199936;-224501;-193570;-220540
55;-186810;-223880;-195616.5;-226638;-186810;-223880
56;-199580;-223740;-207544;-224545;-199580;-223740
57;-204590;-220040;-212398.5;-223615;-204590;-220040
58;-198380;-19840;-205574;-182015;-198380;-19840
59;-195020;-223440;-200680.5;-224711;-195020;-223440
60;-183090;-220640;-200486;-222699;-183090;-220640
61;-193160;-221040;-208282;-224745;-193160;-221040
62;-194010;-221240;-202030.5;-224807;-194010;-221240
63;-190450;-220240;-206975;-224919;-190450;-220240
64;-197690;-221840;-204031;-224766;-197690;-221840
65;-194570;-220540;-200478.5;-222941;-194570;-220540
66;-198420;-223840;-205473;-224395;-198420;-223840
67;-174070;-220440;-205614;-224561;-174070;-220440
68;-195520;-220840;-206530.5;-224722;-195520;-220840
69;130;-221400;-845;-222033;130;-221400
70;-197770;-19840;-203299.5;-212604;-197770;-19840
71;-194070;-224200;-198734;-229140;-194070;-224200
72;-198320;-224840;-207337.5;-224933;-198320;-224840
73;50;-225400;-185524.5;-228327;50;-225400
74;-810;-224820;-152262.5;-226029;-810;-224820
75;-194330;-220440;-203888;-224594;-194330;-220440
76;-199240;-220740;-207057;-223375;-199240;-220740
77;-201410;-19440;-207155.5;-172390;-201410;-19440
78;-194060;-224840;-204969;-225215;-194060;-224840
79;-194220;-19540;-201663;-201924;-194220;-19540
80;-196630;-220340;-205010;-223614;-196630;-220340
81;4190;-22520;-211;-213488;4190;-22520
82;-195530;-224840;-199610;-227992;-195530;-224840
83;3070;-22200;-9650.5;-214034;3070;-22200
84;-196800;-222740;-208243;-224638;-196800;-222740
85;-191630;-221320;-198997;-225126;-191630;-221320
86;-196290;-223740;-207803.5;-225094;-196290;-223740
87;3640;-223540;-158592;-226036;3640;-223540
88;6020;-222440;-10904;-223094;6020;-222440
89;-188810;-220440;-204901;-223672;-188810;-220440
90;-196050;-221540;-204112.5;-224988;-196050;-221540
91;-189540;-221440;-203034.5;-225204;-189540;-221440
92;-191570;-223340;-202924;-225272;-191570;-223340
93;-192870;-220940;-201809;-224872;-192870;-220940
94;-192860;-220340;-205178.5;-222635;-192860;-220340
95;-191740;-220540;-200612;-222705;-191740;-220540
96;-191590;-222840;-201570;-224827;-191590;-222840
97;-195920;-220440;-202544;-222010;-195920;-220440
98;-193740;-224840;-196789;-227273;-193740;-224840
99;-188680;-221640;-202653.5;-223672;-188680;-221640
100;-191140;-220540;-202637.5;-224616;-191140;-220540
101;-196320;-224840;-202639.5;-225467;-196320;-224840
102;7770;-220540;-188412;-224902;7770;-220540
103;6790;-227060;-143894;-227902;6790;-227060
104;-196220;-220640;-200870;-221340;-196220;-220640
105;-196920;-222740;-203975.5;-225335;-196920;-222740
106;-193820;-224840;-207590;-225311;-193820;-224840
107;7840;-221040;-191045.5;-225162;7840;-221040
108;-192760;-223940;-205313;-225059;-192760;-223940
109;-197620;-221640;-208587.5;-224550;-197620;-221640
110;-196460;-220640;-206530;-224305;-196460;-220640
111;-200230;-224240;-209497.5;-224839;-200230;-224240
112;-195250;-226920;-199680.5;-229002;-195250;-226920
113;8500;-220640;-183180;-225370;8500;-220640
114;10050;-220940;-187399;-224183;10050;-220940
115;-190300;-222240;-206380.5;-224965;-190300;-222240
116;-189650;-222640;-200871;-224923;-189650;-222640
117;-194720;-220740;-200699.5;-221060;-194720;-220740
118;-190260;-20240;-204060;-213340;-190260;-20240
119;-196030;-19840;-200506.5;-211225;-196030;-19840
120;-193860;-224840;-198965.5;-225617;-193860;-224840
121;-192240;-222640;-203012.5;-224404;-192240;-222640
122;-199500;-221340;-205839.5;-223575;-199500;-221340
123;-193770;-226760;-194714.5;-227582;-193770;-226760
124;-185960;-222220;-196889;-225036;-185960;-222220
125;-196270;-221040;-205653.5;-222870;-196270;-221040
126;-210720;-224820;-212601;-224820;-210720;-224820
127;-189510;-223940;-200055;-225554;-189510;-223940
128;10070;-222740;-187926;-224815;10070;-222740
129;8110;-222840;-184509.5;-225855;8110;-222840
130;-192560;-221140;-205118.5;-223585;-192560;-221140
131;-196050;-224240;-204227.5;-224930;-196050;-224240
132;9620;-221940;-186916.5;-224072;9620;-221940
133;-193300;-224840;-204857.5;-225203;-193300;-224840
134;-199730;-224840;-210865.5;-225242;-199730;-224840
135;4440;-222820;-186143;-227328;4440;-222820
136;-195010;-220340;-198780;-220605;-195010;-220340
137;4090;-225380;-184489;-227979;4090;-225380
138;4810;-227600;-183582.5;-228194;4810;-227600
139;-190060;-220040;-204735.5;-224768;-190060;-220040
140;-189440;-220040;-203296;-223653;-189440;-220040
141;-198240;-19840;-204325.5;-213060;-198240;-19840
142;-192930;-19340;-201089;-181789;-192930;-19340
143;-198260;-19440;-203397;-201295;-198260;-19440
144;-198090;-20040;-204145;-212715;-198090;-20040
145;-198290;-220340;-206446.5;-222165;-198290;-220340
146;-178210;-223780;-192403;-227039;-178210;-223780
147;-190660;-220840;-199776.5;-221693;-190660;-220840
148;6170;-220940;-194944;-224163;6170;-220940
149;-193170;-228380;-194780.5;-228512;-193170;-228380
150;-193170;-220640;-203807;-224622;-193170;-220640
151;-192120;-220140;-202536.5;-224424;-192120;-220140
152;-193670;-19640;-202370;-110365;-193670;-19640
153;-196780;-19440;-201648;-150520;-196780;-19440
154;2800;-224040;-188981.5;-225662;2800;-224040
155;-188330;-223840;-196926;-225652;-188330;-223840
156;6000;-220840;-191508;-222969;6000;-220840
157;-196540;-221340;-203751.5;-224669;-196540;-221340
158;-193620;-220740;-200377.5;-223036;-193620;-220740
159;-195260;-220940;-201052.5;-223167;-195260;-220940
160;-194670;-19820;-202435;-213358;-194670;-19820
161;-197080;-221540;-206304;-224951;-197080;-221540
162;10730;-220740;-176699;-224699;10730;-220740
163;-194640;-19640;-199683.5;-190735;-194640;-19640
164;-196990;-221940;-208401;-224513;-196990;-221940
165;-192520;-220940;-200185.5;-225520;-192520;-220940
166;-192380;-220240;-207773.5;-224847;-192380;-220240
167;-192980;-219640;-201959;-224505;-192980;-219640
168;-188430;-220840;-199259.5;-223250;-188430;-220840
169;-195820;-221540;-203921;-223585;-195820;-221540
170;-187740;-223040;-202214;-224913;-187740;-223040
171;-192830;-219840;-200115;-223616;-192830;-219840
172;-193270;-220940;-207712;-223890;-193270;-220940
173;6870;-224680;-186490;-226053;6870;-224680
174;-191460;-221440;-200391.5;-224935;-191460;-221440
175;4250;-11070;-19135;-203906;4250;-11070
176;-193540;-221540;-199953;-223499;-193540;-221540
177;-193070;-224040;-199597;-225433;-193070;-224040
178;-191230;-220740;-207191.5;-224475;-191230;-220740
179;-192030;-224840;-197696;-225680;-192030;-224840
180;-192680;-222540;-205359;-225016;-192680;-222540
181;-198870;-221640;-209149.5;-224312;-198870;-221640
182;-189190;-223440;-195089;-227507;-189190;-223440
183;-187320;-224840;-198373;-225959;-187320;-224840
184;10620;-220640;-168255;-224415;10620;-220640
185;-191560;-222840;-197655.5;-225740;-191560;-222840
186;-200750;-220640;-206403.5;-222945;-200750;-220640
187;-192010;-220840;-204603;-223086;-192010;-220840
188;-196030;-220940;-207458.5;-224530;-196030;-220940
189;-194690;-223340;-206638.5;-224821;-194690;-223340
190;-198530;-211170;-203950;-211170;-198530;-211170
191;-192020;-19440;-199622.5;-201473;-192020;-19440
192;-191240;-220540;-198144.5;-224742;-191240;-220540
193;3490;-223940;-184552.5;-225553;3490;-223940
194;-199330;-221840;-209072.5;-224430;-199330;-221840
195;-189580;-220040;-201545.5;-223689;-189580;-220040
196;-196640;-223540;-205945.5;-225228;-196640;-223540
197;-199550;-221240;-206510.5;-223855;-199550;-221240
198;-196630;-221720;-208812.5;-224600;-196630;-221720
199;6360;-221140;-181681;-224139;6360;-221140
200;-196700;-220640;-204433.5;-223530;-196700;-220640
201;-199820;-224240;-209903;-224810;-199820;-224240
202;-195100;-221840;-205240.5;-224425;-195100;-221840
203;-194900;-19540;-202674;-212550;-194900;-19540
204;-192360;-220740;-195479.5;-226578;-192360;-220740
205;-194010;-220840;-205345.5;-223855;-194010;-220840
206;-193770;-220340;-204207.5;-225198;-193770;-220340
207;-180230;-19240;-195788.5;-202843;-180230;-19240
208;-191780;-220740;-197283.5;-224872;-191780;-220740
209;16190;-220440;-186478;-223813;16190;-220440
210;-191330;-224840;-203864;-225791;-191330;-224840
211;-195020;-221840;-203354;-224814;-195020;-221840
212;-193340;-223940;-204208.5;-225230;-193340;-223940
213;5500;-222640;-176388;-225754;5500;-222640
214;-197910;-224840;-211087.5;-224852;-197910;-224840
215;4990;-224560;-18291.5;-227736;4990;-224560
216;-196600;-221940;-203302.5;-224360;-196600;-221940
217;5360;-206730;-149973.5;-209069;5360;-206730
218;-192880;-222940;-202212;-225570;-192880;-222940
219;8080;-224840;-187744.5;-225963;8080;-224840
220;-197470;-224840;-212640.5;-224840;-197470;-224840
221;-197470;-225220;-198792;-225391;-197470;-225220
222;-191440;-220740;-203425;-222510;-191440;-220740
223;-189740;-19940;-202621.5;-212565;-189740;-19940
224;-193610;-222140;-207591;-224635;-193610;-222140
225;2860;-224840;-113818;-225463;2860;-224840
226;-178160;-224640;-206243.5;-225304;-178160;-224640
227;-192620;-227180;-193833;-228295;-192620;-227180
228;8030;-223220;-164968.5;-226341;8030;-223220
229;-191070;-222940;-201527.5;-224245;-191070;-222940
230;-198750;-220740;-206131;-223717;-198750;-220740
231;-190640;-220440;-199339.5;-224338;-190640;-220440
232;-191230;-223940;-201258.5;-225069;-191230;-223940
233;3600;-223600;-17386;-224870;3600;-223600
234;-191120;-220940;-204717;-223075;-191120;-220940
235;-193070;-227000;-193490;-227906;-193070;-227000
236;-199870;-224840;-210387.5;-224846;-199870;-224840
237;6270;-223940;-26702;-226156;6270;-223940
238;4310;-220840;-151889.5;-223668;4310;-220840
239;-193400;-19440;-201415;-190220;-193400;-19440
240;-197990;-224840;-209651.5;-224840;-197990;-224840
241;-193550;-224440;-200969.5;-225346;-193550;-224440
242;960;-223140;-192566;-224972;960;-223140
243;2190;-224840;-194445;-225159;2190;-224840
244;-190280;-220740;-204361.5;-224074;-190280;-220740
245;8170;-221040;-161545.5;-223945;8170;-221040
246;-189570;-221240;-198850.5;-223474;-189570;-221240
247;-196080;-222640;-208087.5;-224645;-196080;-222640
248;-187460;-220940;-200778;-223250;-187460;-220940
249;580;-221240;-196754.5;-225251;580;-221240
250;-184940;-222440;-204462.5;-224828;-184940;-222440
251;6390;-224600;-173885;-227055;6390;-224600
252;-196070;-222720;-207176.5;-224537;-196070;-222720
253;-190860;-221040;-202378.5;-223254;-190860;-221040
254;-190390;-224740;-197380;-226483;-190390;-224740
255;-194020;-221340;-200010.5;-223310;-194020;-221340
256;-198430;-224540;-211210.5;-224825;-198430;-224540
257;-194970;-221040;-201964.5;-223710;-194970;-221040
258;-197260;-224040;-205616.5;-227673;-197260;-224040
259;-189810;-221240;-206554;-224200;-189810;-221240
260;1530;-221540;-193179;-225006;1530;-221540
261;-194820;-222240;-202910.5;-223995;-194820;-222240
262;-191330;-221240;-200636;-224234;-191330;-221240
263;4870;-221220;-178692.5;-225051;4870;-221220
264;-197270;-224840;-213312.5;-224948;-197270;-224840
265;-198720;-221240;-204746;-223781;-198720;-221240
266;-194070;-224840;-196402;-227138;-194070;-224840
267;-199290;-224840;-207714;-225107;-199290;-224840
268;6220;-223700;-56993.5;-226392;6220;-223700
269;-197190;-222440;-208085;-224897;-197190;-222440
270;-192880;-223740;-201987;-225196;-192880;-223740
271;-198140;-222220;-210823;-224690;-198140;-222220
272;-191420;-221620;-197969.5;-223908;-191420;-221620
273;-188470;-221140;-204503.5;-224938;-188470;-221140
274;5930;-222500;-86340;-226971;5930;-222500
275;-199110;-222840;-207605;-224600;-199110;-222840
276;-192770;-222240;-200944.5;-223711;-192770;-222240
277;-196670;-220940;-203263;-223110;-196670;-220940
278;-194020;-224840;-203787;-225398;-194020;-224840
279;-194550;-223040;-206824;-224959;-194550;-223040
280;-197120;-223740;-212375.5;-224797;-197120;-223740
281;-192980;-221540;-203445.5;-225211;-192980;-221540
282;-197170;-221440;-209896;-225039;-197170;-221440
283;-192450;-220540;-200776.5;-222625;-192450;-220540
284;5150;-23280;-38895;-214711;5150;-23280
285;-190970;-220540;-200742;-222744;-190970;-220540
286;8880;-224900;-44406;-226461;8880;-224900
287;-196250;-222040;-207508;-224928;-196250;-222040
288;-197590;-220840;-203480.5;-223819;-197590;-220840
289;-197030;-221040;-202240;-224410;-197030;-221040
290;5730;-222640;-169578;-225685;5730;-222640
291;-188680;-224840;-204803;-225587;-188680;-224840
292;-196220;-221040;-203063;-223538;-196220;-221040
293;-199030;-223040;-211775.5;-224864;-199030;-223040
294;-193550;-220940;-207670.5;-224498;-193550;-220940
295;-193600;-221240;-204948;-223765;-193600;-221240
296;-192320;-220640;-203054;-222679;-192320;-220640
297;-194420;-224840;-196655;-227522;-194420;-224840
298;-195430;-220740;-205371;-223851;-195430;-220740
299;-193770;-221140;-202392.5;-223627;-193770;-221140
300;-188420;-220440;-197859;-221300;-188420;-220440
301;-189670;-220540;-199916;-223099;-189670;-220540
