Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; -3750; 0; -7840; 0; -3750; 0
1; -2600; 0; -4717,5; 0; -2600; 0
2; -3300; 0; -4405; 0; -3300; 0
3; -3600; 0; -10045; 0; -3600; 0
4; -4250; 0; -4347,5; 0; -4250; 0
5; -3200; 0; -9922,5; 0; -3200; 0
6; -4150; 0; -11347,5; 0; -4150; 0
7; -3050; 0; -6372,5; 0; -3050; 0
8; -1850; 0; -3080; 0; -1850; 0
9; -2900; 0; -6172,5; 0; -2900; 0
10; -2850; 0; -5462,5; 0; -2850; 0
11; -3400; 0; -9510; 0; -3400; 0
12; -4150; 0; -8935; 0; -4150; 0
13; -4150; 0; -5965; 0; -4150; 0
14; -3600; 0; -7442,5; 0; -3600; 0
15; -3850; 0; -4207,5; 0; -3850; 0
16; -500; 0; -9360; 0; -500; 0
17; -350; 0; -7595; 0; -350; 0
18; 201700; 0; 15317,5; 0; 201700; 0
19; -3100; 0; -12467,5; 0; -3100; 0
20; -2400; 0; -9415; 0; -2400; 0
21; -2400; 0; -6642,5; 0; -2400; 0
22; -3450; 0; -4317,5; 0; -3450; 0
23; -3650; 0; -6485; 0; -3650; 0
24; -3750; 0; -7682,5; 0; -3750; 0
25; -3200; 0; -4570; 0; -3200; 0
26; -2350; 0; -3582,5; 0; -2350; 0
27; -4650; 0; -5057,5; 0; -4650; 0
28; -4150; 0; -4385; 0; -4150; 0
29; -2450; 0; -3275; 0; -2450; 0
30; -4350; 0; -4377,5; 0; -4350; 0
31; -3950; 0; -4070; 0; -3950; 0
32; -2400; 0; -7567,5; 0; -2400; 0
33; -3150; 0; -3315; 0; -3150; 0
34; -4250; 0; -4475; 0; -4250; 0
35; -3050; 0; -9895; 0; -3050; 0
36; -2750; 0; -6377,5; 0; -2750; 0
37; -3150; 0; -4507,5; 0; -3150; 0
38; -3400; 0; -3982,5; 0; -3400; 0
39; -13150; 0; -13225; 0; -13150; 0
40; -12950; 0; -13025; 0; -12950; 0
41; -3350; 0; -11590; 0; -3350; 0
42; -2000; 0; -8645; 0; -2000; 0
43; -2350; 0; -3715; 0; -2350; 0
44; -4100; 0; -4120; 0; -4100; 0
45; -3350; 0; -3470; 0; -3350; 0
46; -3250; 0; -3407,5; 0; -3250; 0
47; -3200; 0; -3290; 0; -3200; 0
48; -3200; 0; -9377,5; 0; -3200; 0
49; -2400; 0; -3335; 0; -2400; 0
50; -5250; 0; -5397,5; 0; -5250; 0
51; -3400; 0; -6425; 0; -3400; 0
52; -3500; 0; -4320; 0; -3500; 0
53; -3000; 0; -12097,5; 0; -3000; 0
54; -12450; 0; -12522,5; 0; -12450; 0
55; -4350; 0; -5107,5; 0; -4350; 0
56; -3900; 0; -4032,5; 0; -3900; 0
57; -3250; 0; -3377,5; 0; -3250; 0
58; -3350; 0; -3495; 0; -3350; 0
59; -2100; 0; -2587,5; 0; -2100; 0
60; -3950; 0; -4072,5; 0; -3950; 0
61; -2500; 0; -10592,5; 0; -2500; 0
62; -4000; 0; -12087,5; 0; -4000; 0
63; -3250; 0; -3875; 0; -3250; 0
64; -3450; 0; -3480; 0; -3450; 0
65; -4300; 0; -4372,5; 0; -4300; 0
66; -2150; 0; -3675; 0; -2150; 0
67; -4500; 0; -4557,5; 0; -4500; 0
68; -4000; 0; -4097,5; 0; -4000; 0
69; -3050; 0; -7462,5; 0; -3050; 0
70; -2950; 0; -3690; 0; -2950; 0
71; -1800; 0; -2630; 0; -1800; 0
72; -2950; 0; -3140; 0; -2950; 0
73; -3850; 0; -4030; 0; -3850; 0
