Generation; PopBestRed; PopBestBlue; PopAvgRed; PopAvgBlue; BestOverallRed; BestOverallBlue
0; -3750; 0; -7840; 0; -3750; 0
1; 200500; 0; 5172,5; 0; 200500; 0
2; 200550; 0; 1545; 0; 200550; 0
3; 200550; 0; 11827,5; 0; 200550; 0
4; -3250; 0; -12307,5; 0; -3250; 0
5; -3550; 0; -6457,5; 0; -3550; 0
6; -3500; 0; -11122,5; 0; -3500; 0
7; -3100; 0; -5960; 0; -3100; 0
8; -3950; 0; -12200; 0; -3950; 0
9; -3950; 0; -4610; 0; -3950; 0
10; -4350; 0; -5047,5; 0; -4350; 0
11; -2400; 0; -7520; 0; -2400; 0
12; -4450; 0; -4495; 0; -4450; 0
13; -3200; 0; -3840; 0; -3200; 0
14; -2400; 0; -4582,5; 0; -2400; 0
15; -2650; 0; -2855; 0; -2650; 0
16; -2050; 0; -2457,5; 0; -2050; 0
17; -5150; 0; -5212,5; 0; -5150; 0
18; -4400; 0; -4465; 0; -4400; 0
19; -4550; 0; -4625; 0; -4550; 0
20; -3450; 0; -3470; 0; -3450; 0
21; -3150; 0; -3230; 0; -3150; 0
22; -4550; 0; -4605; 0; -4550; 0
23; -3600; 0; -12667,5; 0; -3600; 0
24; -3950; 0; -4007,5; 0; -3950; 0
25; -4400; 0; -4472,5; 0; -4400; 0
26; -3350; 0; -3527,5; 0; -3350; 0
27; -3100; 0; -11287,5; 0; -3100; 0
28; -2950; 0; -3335; 0; -2950; 0
29; -4750; 0; -12895; 0; -4750; 0
30; -3500; 0; -11977,5; 0; -3500; 0
31; -3800; 0; -4240; 0; -3800; 0
32; -5100; 0; -5370; 0; -5100; 0
33; -12150; 0; -12412,5; 0; -12150; 0
34; -2800; 0; -2992,5; 0; -2800; 0
35; -13700; 0; -13825; 0; -13700; 0
36; -3200; 0; -3320; 0; -3200; 0
37; -12350; 0; -12450; 0; -12350; 0
38; -3100; 0; -3387,5; 0; -3100; 0
39; -2350; 0; -7885; 0; -2350; 0
40; -3300; 0; -7317,5; 0; -3300; 0
41; -2600; 0; -3375; 0; -2600; 0
42; -5250; 0; -5350; 0; -5250; 0
43; -13800; 0; -13947,5; 0; -13800; 0
44; -2600; 0; -3212,5; 0; -2600; 0
45; -1900; 0; -10707,5; 0; -1900; 0
46; -5350; 0; -5425; 0; -5350; 0
47; -3950; 0; -4355; 0; -3950; 0
48; -3200; 0; -3370; 0; -3200; 0
49; -3250; 0; -3375; 0; -3250; 0
50; -3500; 0; -4927,5; 0; -3500; 0
51; -2600; 0; -3000; 0; -2600; 0
